gene	chr	starts	ends	strand	ecto	endo	meso	set
6530418L21Rik	3	105704599	105720842	1	-1.8304482	-7.844026	-1.8644955	Sim
Frrs1	3	116878227	116903750	1	3.925734	3.9212103	2.6608932	Sim
Rwdd3	3	121171695	121155400	0	-1.4585625	-0.19727461	-0.21021007	Sim
Ank2	3	126998452	126921607	0	1.077096	1.0673851	-0.001104896	Sim
Alpk1	3	127780527	127670399	0	-4.659084	-8.332812	-4.689216	Sim
Cisd2	3	135423925	135406412	0	5.12492	5.130959	5.0839105	Sim
Adh5	3	138443093	138455499	1	6.753476	6.585778	6.747904	Sim
Cth	3	157925077	157894248	0	4.780298	4.7680545	4.4292984	Sim
Otud6b	4	14826587	14809498	0	5.333858	5.3398275	5.340001	Sim
Ndufaf4	4	24898083	24905001	1	5.311853	5.341278	5.353043	Sim
Rngtt	4	33310311	33502614	1	2.8484268	2.6760635	2.8417573	Sim
Cnr1	4	33924593	33948831	1	-2.556548	-1.7651154	-1.7502217	Sim
Nfx1	4	40970906	41025993	1	3.97546	3.6462915	3.969961	Sim
Atp8b5	4	43267159	43373833	1	-4.397967	-3.669714	-3.6913238	Sim
Rusc2	4	43381979	43427088	1	-4.6136303	-3.6134026	-3.5587964	Sim
4930412F15Rik	4	43669145	43659622	0	1.9081504	1.8136983	1.8946345	Sim
1300002K09Rik	4	45848664	45887008	1	-3.2641618	-5.107815	-3.2100086	Sim
Tmod1	4	46038935	46116032	1	2.313027	1.7193245	2.3179219	Sim
Anp32b	4	46450902	46472657	1	8.863183	8.228471	8.859664	Sim
Rad23b	4	55350043	55392237	1	3.976982	3.9896126	3.821527	Sim
1110054O05Rik	4	59801589	59769637	0	3.6961637	3.5124238	3.7024097	Sim
Whrn	4	63495991	63414910	0	-2.0602558	-2.1004477	-3.1534925	Sim
Dennd4c	4	86748555	86850603	1	-0.16450033	-1.2902967	-0.16469628	Sim
Mier1	4	103114390	103165754	1	2.9815443	2.8646455	2.9727442	Sim
Orc1	4	108579423	108614833	1	4.0394673	2.7381601	4.0328355	Sim
St3gal3	4	118134914	117932154	0	0.5220521	0.5962911	0.5902356	Sim
Kdm4a	4	118180043	118136957	0	0.9250428	0.9224638	0.56864065	Sim
Ppih	4	119320546	119300010	0	5.6423244	5.5310736	5.649029	Sim
Rlf	4	121215084	121145373	0	3.119547	2.5446315	3.1213524	Sim
Bmp8b	4	123105165	123132099	1	1.8033829	0.85716	1.8167453	Sim
Bmp8a	4	123343252	123312645	0	-1.4108382	-1.7465514	-1.437424	Sim
Rragc	4	123917446	123936997	1	0.7750944	0.70765233	0.7631809	Sim
Yars	4	129189760	129219607	1	4.211377	3.4056087	4.2026143	Sim
Marcksl1	4	129513581	129515985	1	7.7792425	7.997353	7.9951987	Sim
2610002D18Rik	4	134510999	134523927	1	4.778518	4.666003	4.7672124	Sim
Hmgcl	4	135946448	135962617	1	4.135442	3.3996031	4.120769	Sim
Rpl11	4	136053428	136028265	0	8.458996	8.521547	8.51905	Sim
Pink1	4	138326307	138313409	0	1.3741868	2.0834672	2.0962534	Sim
Mrto4	4	139352576	139347435	0	5.728676	5.204441	5.7282896	Sim
Spen	4	141538597	141467890	0	0.5202229	0.008535139	0.5392574	Sim
Ube4b	4	149426749	149328416	0	3.5220912	3.4884617	3.5130658	Sim
Ssu72	4	155704800	155733879	1	6.155987	6.27825	6.27402	Sim
Ankib1	5	3803109	3690000	0	0.82793033	0.093304396	0.83886576	Sim
Mll3	5	25498783	25271798	0	-0.1756026	0.31263342	0.28396934	Sim
Tyms	5	30073617	30058202	0	4.6075134	4.7225037	4.730315	Sim
Fam53a	5	33629635	33600351	0	2.7823973	2.7104344	2.7623253	Sim
Tada2b	5	36484285	36473670	0	0.41710114	-1.2487648	0.43496296	Sim
Tbc1d14	5	36593276	36490604	0	2.2046545	1.8439656	2.1974165	Sim
Utp3	5	88554483	88556083	1	6.3387785	6.0634236	6.3382635	Sim
Slc4a4	5	88886818	89239653	1	0.33855292	1.3250843	1.3375056	Sim
Ung	5	114130386	114139323	1	4.960064	4.5693555	4.969962	Sim
Rasal1	5	120648812	120679597	1	-1.7590475	-1.7344906	-3.0154874	Sim
Rhof	5	123132692	123103044	0	0.02174418	-0.8040819	0.04010072	Sim
Pitpnm2	5	124249760	124118690	0	-1.6272293	-1.6664101	-1.8086549	Sim
Snrnp35	5	124483134	124491124	1	2.8569367	2.4842675	2.8750596	Sim
Rilpl1	5	124531391	124493082	0	1.7052836	0.45257157	1.7285465	Sim
Mmp17	5	129584169	129608875	1	-1.1970999	-3.9856112	-1.1697468	Sim
Gusb	5	130003049	129989011	0	3.5620008	2.9403899	3.5468323	Sim
Eif4h	5	134639348	134619880	0	7.083844	6.9694214	7.089926	Sim
Tmem120a	5	135744271	135735485	0	4.377511	3.8873334	4.3694787	Sim
Pop7	5	137502518	137501438	0	5.110998	5.160282	5.1658077	Sim
Mblac1	5	138194314	138195621	1	1.4173281	0.8783664	1.4360888	Sim
Elfn1	5	139907943	139974711	1	-2.1464963	-2.1207335	-7.23462	Sim
Fbxl18	5	142895421	142866946	0	1.8287591	1.8936054	1.8935149	Sim
Zdhhc4	5	143329256	143316489	0	2.6072156	3.0472577	3.066232	Sim
Usp42	5	143732280	143710325	0	2.1121545	2.0496192	2.1155612	Sim
Pms2	5	143909964	143937309	1	2.4554787	2.4671295	2.2132673	Sim
Cpsf4	5	145167213	145182041	1	4.1412516	3.5620148	4.145319	Sim
Zfp655	5	145231723	145247302	1	3.046071	3.3645802	3.3504786	Sim
Tmem168	6	13608100	13580687	0	1.3609397	1.5833639	1.5917001	Sim
Fam3c	6	22356243	22306520	0	2.9989634	2.4606063	3.0051894	Sim
Luc7l2	6	38551334	38609470	1	2.1252105	2.1662505	2.1480145	Sim
Svs1	6	48986861	48991725	1	-3.8634706	-7.060761	-3.8205206	Sim
2410003K15Rik	6	49073795	49086751	1	5.097888	5.10049	5.028699	Sim
Vopp1	6	57825154	57727807	0	0.22635266	1.2603428	1.2863039	Sim
Nap1l5	6	58907126	58905234	0	-1.8563802	-6.507388	-1.8814945	Sim
Tacstd2	6	67535822	67534059	0	-0.330957	-0.32282406	-0.7101298	Sim
Aup1	6	83054653	83057680	1	4.6854057	4.7332478	4.724811	Sim
Mob1a	6	83326016	83343776	1	3.544959	3.7511425	3.7522583	Sim
Pcbp1	6	86526171	86524499	0	7.2175884	7.117616	7.2244105	Sim
Nr2c2	6	92091390	92173057	1	1.949226	1.9645933	1.3053339	Sim
Trnt1	6	106769120	106782474	1	5.6119895	5.3673806	5.6102486	Sim
Rpusd3	6	113419348	113415319	0	3.7455661	3.756229	2.8337777	Sim
Rad52	6	119902698	119922828	1	1.946706	2.2959282	2.3059027	Sim
Usp5	6	124829484	124815019	0	5.1872907	5.2004166	5.1916184	Sim
Mlf2	6	124931388	124936138	1	7.4259887000000004	7.4274483	7.3196216	Sim
Ncapd2	6	125191595	125168009	0	5.128557	4.93337	5.130018	Sim
Dusp16	6	134792625	134715473	0	-0.25412086	-0.23574431	-1.1539809	Sim
Rerg	6	137170497	137054825	0	1.6702282	2.0592046	2.0436692	Sim
Pyroxd1	6	142345654	142363257	1	2.557276	2.55974	2.3791451	Sim
Recql	6	142387087	142350342	0	2.3726504	2.121022	2.3639274	Sim
Casc1	6	145210970	145174834	0	-4.9208126	-4.916469	-6.630425	Sim
Ccdc91	6	147475871	147632612	1	3.26934	3.2761908	2.8522613	Sim
Ube2s	7	4812351	4808155	0	6.0989237	5.739709	6.0955176	Sim
Kptn	7	16119895	16127516	1	2.3096302	2.2987149	1.8455085	Sim
Strn4	7	16815889	16840931	1	2.0503998	1.6551902	2.0407157	Sim
Prkd2	7	16842902	16870461	1	0.24082814	0.3491951	0.32502416	Sim
Fbxo46	7	19119859	19138261	1	2.417857	2.3819818	2.4033194	Sim
Rtn2	7	19282662	19296164	1	0.10708869	-1.7585907	0.10963844	Sim
Pvr	7	19921160	19903578	0	-0.13133511	1.3274108	1.347049	Sim
Zfp108	7	24257644	24261914	1	-0.52992207	-0.5245829	-0.8822011	Sim
Rps19	7	24884371	24889806	1	7.843094	7.9427485	7.941431	Sim
Hnrnpul1	7	25754730	25721498	0	2.9912055	2.8025248	2.9911368	Sim
Psmc4	7	28050101	28041707	0	7.5850677	7.432054	7.5890207	Sim
Ggn	7	29170220	29173933	1	-3.4571812	-2.8368871	-2.8202035	Sim
Zfp74	7	29954089	29930815	0	1.2552793	1.6538676	1.6423779	Sim
Zfp382	7	30121942	30134665	1	-0.5300156	0.69549334	0.71512234	Sim
Polr2i	7	30231948	30233390	1	6.502349	6.3753624	6.502092	Sim
Cox6b1	7	30626151	30616974	0	9.573096	9.785677	9.784877	Sim
Plekhf1	7	38227994	38220654	0	1.8705595	2.408484	2.3885055	Sim
Prr12	7	45052881	45027707	0	0.1690015	0.16246878	-0.085689515	Sim
Sphk2	7	45718002	45709467	0	2.6171482	2.583194	2.6139183	Sim
Fam83e	7	45721212	45729492	1	-1.1341196	-1.2894809	-1.0982448	Sim
Cyfip1	7	55841745	55930700	1	4.178572	4.38579	4.3939586	Sim
Tarsl2	7	65644898	65692091	1	0.26503912	0.35797423	0.362434	Sim
Tm2d3	7	65691169	65701913	1	5.2673492	5.269395	4.8381577	Sim
Chsy1	7	66109515	66173789	1	3.340321	3.689295	3.680268	Sim
Idh2	7	80115392	80094846	0	5.441288	5.611568	5.619598	Sim
Homer2	7	81706925	81600481	0	-0.89997524	-0.91355324	-1.7080501	Sim
Fah	7	84606722	84585159	0	1.3206272	1.9149052	1.9386294	Sim
Rsf1	7	97579896	97692782	1	2.353771	2.2939527	2.365703	Sim
Omp	7	98145502	98143360	0	-5.0126176	-6.6863456	-5.078374	Sim
Rnf169	7	99980458	99920254	0	0.7412057	0.63825804	0.76598203	Sim
Rnf121	7	102065469	102019137	0	2.4976697	3.0244393	3.0221336	Sim
Pgap2	7	102210208	102238567	1	3.6355302	3.6238647	3.2066574	Sim
Eif3f	7	108934417	108942951	1	6.535541	6.6079593	6.6156516	Sim
Eif4g2	7	111083030	111067985	0	6.569351	6.5435133	6.569213	Sim
4933427G17Rik	7	120982509	121014787	1	-5.2608404	-6.5195312	-5.233487	Sim
Tufm	7	126487355	126490730	1	6.3813725	5.9430614	6.3827596	Sim
Ctf1	7	127712736	127718185	1	1.6928309	2.477533	2.483612	Sim
Plekha1	7	130865756	130913312	1	3.145834	3.127887	2.4238753	Sim
Zfp511	7	140036391	140040605	1	4.5765886	4.2685637	4.568503	Sim
Deaf1	7	141327725	141297176	0	3.2244775	3.2111187	3.069914	Sim
Star	8	25808474	25814723	1	-1.2217737	-0.06793369	-0.07547941	Sim
Fut10	8	31187331	31261738	1	1.7128946	0.38089406	1.734584	Sim
Ppp1r3b	8	35375741	35388124	1	-2.6635065	-1.047728	-1.0332689	Sim
Cnot7	8	40515847	40492540	0	4.4984884	4.4434557	4.510382	Sim
Fgl1	8	41215156	41191434	0	-1.8231899	-1.393495	-1.4158559	Sim
Neil3	8	53639065	53586867	0	1.5213149	0.8711926	1.4965506	Sim
2310045N01Rik	8	70139499	70167488	1	3.5654707	3.570574	3.5668614	Sim
Mpv17l2	8	70760921	70758649	0	3.744964	3.3899398	3.750176	Sim
Arrdc2	8	70839720	70835155	0	-1.1669122	-1.1625683	-3.5203807	Sim
Unc13a	8	71671757	71624417	0	-1.7129878	-2.8072915	-1.6755646	Sim
Zfp617	8	71908635	71934629	1	4.2585335	4.2582736	3.9662838	Sim
Pkn1	8	83699179	83669762	0	-2.0630696	-2.034102	-2.1575575	Sim
Phkb	8	85840959	86061376	1	2.3832211	1.7120005	2.3892238	Sim
Siah1a	8	86746006	86723940	0	1.773375	2.372742	2.3939774	Sim
Tmem188	8	88118769	88135110	1	4.6300473	4.310097	4.6182	Sim
Slc38a7	8	95853539	95835920	0	1.6968775	2.0916939	2.1061997	Sim
Cmtm3	8	104340594	104347672	1	0.3718669	1.3806566	1.4035074	Sim
Ctcf	8	105636568	105682922	1	4.423181	4.088867	4.4166994	Sim
Vps4a	8	107031222	107045755	1	3.1410015	3.6432908	3.6446621	Sim
Gcsh	8	116993537	116981810	0	7.411754	7.607476	7.609047	Sim
Taf1c	8	119605222	119597975	0	2.4082499	0.9756322	2.4093897	Sim
Afg3l1	8	123477903	123503916	1	2.9234302	2.617876	2.9076846	Sim
Alkbh8	9	3335478	3387050	1	3.263808	3.5152752	3.530066	Sim
Aasdhppt	9	4309494	4294793	0	5.110687	5.1103277	5.099841	Sim
Tmem123	9	7764041	7794333	1	3.2751248	3.36555	3.3474143	Sim
Yap1	9	8004596	7931999	0	2.415386	2.3964036	2.2884715	Sim
Mtmr2	9	13748410	13806481	1	4.0753784	4.2333865	4.2297707	Sim
BC017612	9	15505487	15545260	1	4.6052732	4.5995145	4.405871	Sim
Ccdc67	9	15627933	15559864	0	-1.7454349	-0.9331593	-0.9564749	Sim
Dnmt1	9	20959888	20907206	0	3.8240032	4.017546	4.027659	Sim
Vps26b	9	27030094	27004503	0	4.247882	4.0454783	4.259632	Sim
Robo4	9	37401897	37414023	1	-3.04418	-0.99706227	-0.9593767	Sim
Dscaml1	9	45430293	45753164	1	-7.9915957	-8.250286	-7.964242	Sim
Rnf214	9	45906894	45863425	0	1.4924731	1.7968663	1.7959138	Sim
Rbm7	9	48495330	48488709	0	5.2525473	5.340948	5.35216	Sim
Acat1	9	53610382	53580522	0	0.40827027	1.7664598	1.746467	Sim
Clk3	9	57765860	57750711	0	4.2166689999999996	4.4538417	4.448135	Sim
Kif23	9	61946799	61917280	0	4.4944577	4.6518903	4.646876	Sim
Rasl12	9	65398488	65414853	1	-1.400321	-1.3896515	-2.2221878	Sim
Oaz2	9	65668001	65690300	1	4.904677	5.3566484	5.3628044	Sim
Trip4	9	65908794	65828930	0	2.238034	2.2491474	2.1950734	Sim
Polr2m	9	71485935	71478437	0	7.8478794	7.674368	7.845614	Sim
Ooep	9	78378725	78376109	0	0.8236424	0.8088774	0.51595736	Sim
Tfdp2	9	96196275	96323646	1	2.796065	2.7370522	2.798105	Sim
Rnf7	9	96478675	96470941	0	7.305192	7.2641654	7.3111916	Sim
Poc1a	9	106281061	106349891	1	4.8196254	4.806451	3.7710028	Sim
Qrich1	9	108517087	108560167	1	4.997802	4.588284	4.992952	Sim
Nme6	9	109832749	109843116	1	5.3219376	5.2424474	5.3193827	Sim
AC159748.1	10	5550692	5336949	0	-1.8037368	-1.7626177	-2.596516	Sim
Vta1	10	14705560	14654755	0	5.546987	5.5582294	5.3762536	Sim
H60b	10	22158586	22288849	1	-3.284675	1.944921	1.9423507	Sim
Raet1c	10	22173521	22374139	1	1.1638625	2.575334	2.5600283	Sim
Tspyl4	10	34297421	34301308	1	0.80922437	0.8302626	0.48849455	Sim
Amd2	10	35711891	35708691	0	1.342182	0.6681262	1.3550805	Sim
Marcks	10	37138920	37133375	0	6.0645123	6.4134264	6.420503	Sim
Cd164	10	41519500	41531042	1	6.7700796	6.7732477	6.72866	Sim
Sec63	10	42761496	42832514	1	1.7998753	1.7874706	1.7764555	Sim
Ybey	10	76469114	76459569	0	2.1060636	1.3226571	2.090488	Sim
Slc19a1	10	77032241	77061002	1	3.048131	2.846775	3.0318203	Sim
Trappc10	10	78244642	78186725	0	-0.17188212	-0.17796567	-0.16674004	Sim
Cdc34	10	79682195	79688394	1	5.840753	5.568314	5.8418818	Sim
ORF61	10	79984330	79974948	0	-0.03621216	-0.00491753	-0.020091303	Sim
Ndufs7	10	80249121	80256794	1	6.5205274	6.4365077	6.5215306	Sim
Dazap1	10	80261486	80288408	1	2.8024495	2.69226	2.809994	Sim
Btbd2	10	80657071	80642617	0	2.8370957	3.089236	3.0941644	Sim
Izumo4	10	80702693	80705382	1	-0.71212107	-0.13291727	-0.09980545	Sim
AC167202.2	10	81718919	81721468	1	-0.41225454	-0.4000646	-0.84488624	Sim
Tdg	10	82629828	82650799	1	5.177149	5.0876603	5.1727376	Sim
Ccdc53	10	88201097	88246152	1	4.71227	4.678967	4.7073703	Sim
Tmpo	10	91171582	91147571	0	4.193376	4.046849	4.1851664	Sim
Cdk17	10	93160876	93241342	1	1.9792773	1.9669487	1.4059556	Sim
Atp2b1	10	98915152	99026143	1	3.8909822	4.333158	4.3212686	Sim
Xrcc6bp1	10	126901371	126868430	0	3.6560054	2.6431243	3.671983	Sim
Avil	10	127000709	127020994	1	-7.092709	-7.3514	-7.0653563	Sim
Tmem194	10	127666901	127701049	1	0.99905986	1.3823866	1.3711331	Sim
Mip	10	128225838	128231812	1	0.39185074	0.39572158	0.36057612	Sim
Tbrg4	11	6626067	6615598	0	4.3643847	3.5627313	4.3651934	Sim
Ramp3	11	6658521	6677475	1	1.4069808	1.4135038	0.042016674	Sim
Igfbp3	11	7213923	7206086	0	1.8650179	1.8557645	0.17210822	Sim
Tns3	11	8664535	8431652	0	1.328848	1.3324811	0.53137314	Sim
Fignl1	11	11808962	11787431	0	4.469065	4.59835	4.594311	Sim
Pno1	11	17211568	17203198	0	6.5847745	6.3131204	6.578767	Sim
Etaa1	11	17953875	17938756	0	3.2472951	3.1484194	3.2451272	Sim
Ehbp1	11	22342292	22005828	0	1.0574967	0.8109337	1.084109	Sim
Pus10	11	23665674	23732876	1	2.8957834	2.6945722	2.8803887	Sim
Papolg	11	23895253	23862646	0	2.9910665	3.470164	3.4677699	Sim
Nudcd2	11	40733667	40740046	1	6.5885854	6.4750376	6.5956903	Sim
Ccnjl	11	43528784	43586997	1	1.9678625	0.9225755	1.9635068	Sim
Ttc1	11	43748008	43729512	0	5.0155807	5.0074453	4.8257003	Sim
A230051G13Rik	11	59163739	59155369	0	1.3465142	1.0907117	1.343186	Sim
Stx8	11	67966193	68207148	1	1.5623091	1.4041637	1.5386457	Sim
Myh10	11	68691559	68816632	1	3.6493027	2.9969366	3.633948	Sim
Cyb5d1	11	69395631	69391925	0	3.5598917	3.9474585	3.9352472	Sim
Wrap53	11	69580255	69561758	0	4.4366283	4.0719914	4.435415	Sim
Eif5a	11	69921958	69916714	0	10.156464	9.788997	10.158215	Sim
Pafah1b1	11	74724670	74673949	0	3.6110203	3.603889	3.3885796	Sim
Mettl16	11	74770830	74828525	1	3.6695333	2.990932	3.6767614	Sim
Blmh	11	76924809	76987379	1	5.8341007	5.6666613	5.837323	Sim
Supt6h	11	78245987	78206746	0	2.9870682	2.9313958	2.9895208	Sim
Pex12	11	83302586	83294642	0	2.1566796	2.1694355	2.1078324	Sim
Med13	11	86357602	86267033	0	1.7621379	1.5905206	1.739301	Sim
Mrps23	11	88204388	88211507	1	5.061787	5.0568852	4.92255	Sim
Ube2z	11	96065388	96047432	0	2.4690986	2.169998	2.447766	Sim
Nfe2l1	11	96829968	96817414	0	2.5231085	2.9495537	2.967555	Sim
Socs7	11	97362551	97398542	1	-0.012397341	-0.8199402	-0.006814716	Sim
Top2a	11	99024189	98992943	0	6.3727884	6.2697024	6.3710966000000004	Sim
Plekhh3	11	101171351	101162679	0	-3.7093568	-2.2754762	-2.2345448	Sim
Becn1	11	101302286	101285952	0	3.609927	3.728306	3.732827	Sim
Fam171a2	11	102447682	102436981	0	-1.7467145	-5.0757947	-1.7225851	Sim
Plekhm1	11	103412664	103365088	0	0.6433725	0.66109526	0.45224828	Sim
Cdc42ep4	11	113751881	113726850	0	2.6833668	3.8320193	3.825902	Sim
Prpsap1	11	116494202	116470845	0	5.8472104	5.5550103	5.856058	Sim
Dnahc17	11	118129219	118021723	0	-2.1352763	-1.9933643	-1.9486768	Sim
